Path,URL,Size in bytes (optional but recommended),MD5 Hash (optional but recommended),Filter Terms (optional),Overwrite (optional),Comments (optional)
docs/VirtualBoy/Manuals/!System Manual (Nintendo Virtual Boy).pdf,https://archive.org/download/mister-manuals/1995_Nintendo%20Virtual%20Boy.zip/1995_Nintendo%20Virtual%20Boy%2F%21System%20Manual%20%28Nintendo%20Virtual%20Boy%29.pdf,2225657,f101d9bef28f27099ce5250e19f36134,,,!System Manual (Nintendo Virtual Boy).pdf
docs/VirtualBoy/Manuals/3D Tetris.pdf,https://archive.org/download/mister-manuals/1995_Nintendo%20Virtual%20Boy.zip/1995_Nintendo%20Virtual%20Boy%2F3D%20Tetris.pdf,1796116,2072fc7ca00e0a354d9962ef835d06d8,,,3D Tetris.pdf
docs/VirtualBoy/Manuals/Galactic Pinball.pdf,https://archive.org/download/mister-manuals/1995_Nintendo%20Virtual%20Boy.zip/1995_Nintendo%20Virtual%20Boy%2FGalactic%20Pinball.pdf,2190221,bb62d51356d44b767a2f6234846749fe,,,Galactic Pinball.pdf
docs/VirtualBoy/Manuals/Golf.pdf,https://archive.org/download/mister-manuals/1995_Nintendo%20Virtual%20Boy.zip/1995_Nintendo%20Virtual%20Boy%2FGolf.pdf,2147486,5ed2dbd9c8a429b6b161a2cf149e4b5c,,,Golf.pdf
docs/VirtualBoy/Manuals/Jack Bros..pdf,https://archive.org/download/mister-manuals/1995_Nintendo%20Virtual%20Boy.zip/1995_Nintendo%20Virtual%20Boy%2FJack%20Bros..pdf,1511373,7751b5238ae29c59937d0eb8d1e04280,,,Jack Bros..pdf
"docs/VirtualBoy/Manuals/Mansion of Innsmouth, The.pdf",https://archive.org/download/mister-manuals/1995_Nintendo%20Virtual%20Boy.zip/1995_Nintendo%20Virtual%20Boy%2FMansion%20of%20Innsmouth%2C%20The.pdf,1847588,b885954bf4f4d002f9778d3a91d000ba,,,"Mansion of Innsmouth, The.pdf"
docs/VirtualBoy/Manuals/Mario Clash.pdf,https://archive.org/download/mister-manuals/1995_Nintendo%20Virtual%20Boy.zip/1995_Nintendo%20Virtual%20Boy%2FMario%20Clash.pdf,1837954,97882492824c451e7c413b173c24f82c,,,Mario Clash.pdf
docs/VirtualBoy/Manuals/Mario_s Tennis.pdf,https://archive.org/download/mister-manuals/1995_Nintendo%20Virtual%20Boy.zip/1995_Nintendo%20Virtual%20Boy%2FMario_s%20Tennis.pdf,2526213,0132bd2f3ddd0a5f8a9943f82f8bcce1,,,Mario_s Tennis.pdf
docs/VirtualBoy/Manuals/Nester_s Funky Bowling.pdf,https://archive.org/download/mister-manuals/1995_Nintendo%20Virtual%20Boy.zip/1995_Nintendo%20Virtual%20Boy%2FNester_s%20Funky%20Bowling.pdf,1166981,fc45dcf1b3c25d83a3f7541f0495b41e,,,Nester_s Funky Bowling.pdf
docs/VirtualBoy/Manuals/Panic Bomber.pdf,https://archive.org/download/mister-manuals/1995_Nintendo%20Virtual%20Boy.zip/1995_Nintendo%20Virtual%20Boy%2FPanic%20Bomber.pdf,2724471,7a7976d072fd96c0ac73df4363ae907f,,,Panic Bomber.pdf
